POLLING PLACE,ADDRESS,CITY,STATE,ZIP,Cong,LEG,COUN,WARD AND PRECINCTS,# pp in location
SCHOOL #215 HIGHLANDTOWN ELEM,3223 E PRATT ST,BALTIMORE,MD,21224,3,46,1,26-010,1
SCHOOL #217 BELMONT ELEM,1406 N ELLAMONT ST,BALTIMORE,MD,21216,7,40,9,16-012,1
SCHOOL #219 YORKWOOD ELEM,5930 YORKWOOD RD,BALTIMORE,MD,21239,7,43,4,27-019,
SCHOOL #219 YORKWOOD ELEM,5931 YORKWOOD RD,BALTIMORE,MD,21239,7,43,4,27-021,2
SCHOOL #22 GEORGE WASHINGTON ELEM,798 SCOTT ST,BALTIMORE,MD,21230,3,40,11,21-001,
SCHOOL #22 GEORGE WASHINGTON ELEM,799 SCOTT ST,BALTIMORE,MD,21230,3,40,11,21-002,
SCHOOL #22 GEORGE WASHINGTON ELEM,800 SCOTT ST,BALTIMORE,MD,21230,3,40,11,21-004,3
SCHOOL #220 MORRELL PARK ELEM/MID,2601 TOLLEY ST,BALTIMORE,MD,21230,3,40,10,25-004,1
SCHOOL #223 PIMLICO ELEM,4848 PIMLICO ROAD,BALTIMORE,MD,21215,7,41,6,27-052,
SCHOOL #223 PIMLICO ELEM,4849 PIMLICO ROAD,BALTIMORE,MD,21215,7,41,6,57-058,2
SCHOOL #224 GROVE PARK ELEM,5544 KENNISON AVE,BALTIMORE,MD,21215,7,41,5,28-002,
SCHOOL #224 GROVE PARK ELEM,5545 KENNISON AVE,BALTIMORE,MD,21215,7,41,5,28-004,2
SCHOOL #225 WESTPORT ELEM,2401 NEVADA ST,BALTIMORE,MD,21230,2,46,10,25-006,1
SCHOOL #226 VIOLETVILLE ELEM/MID,1205 PINE HGTS AVE,BALTIMORE,MD,21229,3,40,10,25-003,
SCHOOL #226 VIOLETVILLE ELEM/MID,1206 PINE HGTS AVE,BALTIMORE,MD,21229,3,40,10,25-017,
SCHOOL #226 VIOLETVILLE ELEM/MID,1207 PINE HGTS AVE,BALTIMORE,MD,21229,3,40,10,25-018,3
SCHOOL #23 GENERAL WOLFE ELEM,244 S WOLFE ST,BALTIMORE,MD,21231,3,46,13,02-001,
SCHOOL #23 GENERAL WOLFE ELEM,245 S WOLFE ST,BALTIMORE,MD,21231,3,46,13,02-002,2
SCHOOL #231 BREHMS LANE ELEM,3534 BREHMS LN,BALTIMORE,MD,21213,7,45,13,26-020,
SCHOOL #231 BREHMS LANE ELEM,3535 BREHMS LN,BALTIMORE,MD,21213,7,45,13,26-021,
SCHOOL #231 BREHMS LANE ELEM,3536 BREHMS LN,BALTIMORE,MD,21213,7,45,13,26-032,3
SCHOOL #232 THOMAS JEFFERSON ELEM,603 DRYDEN DR,BALTIMORE,MD,21229,7,41,8,28-010,
