,LEG02 Precinct Name,,Voting District (VTD),VTD Type,Census Population,Total Population,Adjusted One Race Alone,Adjusted White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone ,Native Hawiian Other Pacific Islander Alone,Adjusted Some Other Race Alone ,Adjusted Two or More Races,Adjusted Hispanic or Latino (Of Any Race),Adjusted Total Person 18+
2407,24040 Baltimore City Precinct 13-007,,13-007,Adj,"1,585","1,625","1,549",68,"1,471",1,5,0,4,39,37,"1,301"
2407,24040 Baltimore City Precinct 13-008,,13-008,Adj,"2,186","2,221","2,063",243,"1,772",9,17,0,22,84,74,"1,769"
2407,24040 Baltimore City Precinct 13-009,,13-009,Adj,"1,566","1,582","1,477",130,"1,324",11,8,1,3,76,29,"1,338"
2407,24040 Baltimore City Precinct 13-010,,13-010,Adj,"1,898","1,926","1,790",302,"1,440",2,32,1,13,84,52,"1,609"
2407,24043 Baltimore City Precinct 13-011,,13-011,Adj,"2,661","2,665","2,395","2,173",87,5,124,0,6,143,127,"2,387"
2403,24040 Baltimore City Precinct 13-012,,13-012,Adj,"1,987","1,989","1,839","1,581",57,3,181,0,17,87,63,"1,757"
2407,24040 Baltimore City Precinct 13-013,,13-013,Unadj,143,143,123,114,6,0,3,0,0,12,8,125
2407,24040 Baltimore City Precinct 14-001,,14-001,Adj,"2,050","2,055","1,790",917,393,1,466,0,13,114,151,"1,934"
2407,24040 Baltimore City Precinct 14-002,,14-002,Adj,"1,137","1,153","1,083",412,636,2,21,1,11,28,42,986
2407,24044 Baltimore City Precinct 14-003,,14-003,Adj,"1,328","1,355","1,304",52,"1,233",2,7,0,10,30,21,933
2407,24044 Baltimore City Precinct 14-004,,14-004,Adj,"3,024","3,069","2,877",482,"2,321",8,49,4,13,121,71,"2,514"
2407,24040 Baltimore City Precinct 14-005,,14-005,Adj,596,609,569,4,561,2,0,1,1,29,11,483
2407,24041 Baltimore City Precinct 15-001,,15-001,Adj,"2,022","2,047","1,954",47,"1,880",8,10,0,9,45,48,"1,679"
2407,24041 Baltimore City Precinct 15-002,,15-002,Adj,"1,318","1,337","1,270",69,"1,187",5,6,0,3,27,40,"1,039"
2407,24041 Baltimore City Precinct 15-003,,15-003,Adj,"2,845","2,875","2,726",45,"2,643",15,12,2,9,62,87,"2,306"
2407,24040 Baltimore City Precinct 15-004,,15-004,Adj,"1,096","1,108","1,063",12,"1,027",5,13,1,5,28,17,896
2407,24040 Baltimore City Precinct 15-005,,15-005,Adj,"1,501","1,514","1,415",37,"1,364",4,6,2,2,54,45,"1,254"
2407,24040 Baltimore City Precinct 15-006,,15-006,Adj,"2,071","2,104","2,019",25,"1,971",0,9,0,14,49,36,"1,646"
2407,24041 Baltimore City Precinct 15-007,,15-007,Adj,"1,909","1,935","1,857",44,"1,795",1,5,1,11,30,48,"1,538"
2407,24041 Baltimore City Precinct 15-008,,15-008,Adj,869,877,821,12,803,2,3,0,1,29,27,710
2407,24041 Baltimore City Precinct 15-009,,15-009,Adj,"3,467","3,513","3,348",102,"3,200",11,24,0,11,85,80,"2,752"
2407,24041 Baltimore City Precinct 15-010,,15-010,Adj,"1,859","1,875","1,753",95,"1,617",5,16,0,20,70,52,"1,537"
2407,24041 Baltimore City Precinct 15-011,,15-011,Adj,"1,798","1,831","1,740",67,"1,640",3,2,0,28,49,42,"1,449"
2407,24041 Baltimore City Precinct 15-012,,15-012,Adj,370,387,364,18,338,4,1,0,3,14,9,302
2407,24040 Baltimore City Precinct 15-013,,15-013,Adj,923,936,913,1,908,1,2,0,1,15,8,733
2407,24040 Baltimore City Precinct 15-014,,15-014,Adj,"1,659","1,690","1,627",20,"1,593",7,3,0,4,46,17,"1,330"
2407,24040 Baltimore City Precinct 15-015,,15-015,Adj,886,911,881,25,851,1,0,0,4,21,9,677
2407,24040 Baltimore City Precinct 15-016,,15-016,Adj,889,915,906,8,896,2,0,0,0,6,3,706
2407,24040 Baltimore City Precinct 15-017,,15-017,Adj,"1,750","1,791","1,747",13,"1,720",3,6,0,5,32,12,"1,407"
2407,24040 Baltimore City Precinct 15-018,,15-018,Adj,"3,196","3,287","3,154",39,"3,087",3,9,2,14,79,54,"2,496"
