27014-SCHOOL #236  HAMILTON,"6101 OLD  HARFORD RD,",1848,241,7,392,41,2529
ELEM/MID,"BALTIMORE, MD 21214",,,,,,
27015-SCHOOL #413 ACHIEVEMENT ACAD,"2201 PINEWOOD AVE,",1601,123,6,247,32,2009
"@ HARBOR CITY","BALTIMORE, MD 21214",,,,,,
27016-SCHOOL #212 GARRETT HGTS ELEM,"2800 AILSA AVE,",549,61,1,105,11,727
"","BALTIMORE, MD 21214",,,,,,
27017-SCHOOL #212 GARRETT HGTS ELEM,"2800 AILSA AVE,",1193,61,2,194,16,1466
"","BALTIMORE, MD 21214",,,,,,
27018-ENGINE HOUSE #42,"4522 HARFORD RD,",1289,92,3,245,23,1652
"","BALTIMORE, MD 21214",,,,,,
27019-SCHOOL #219 YORKWOOD ELEM,"5931 YORKWOOD RD,",989,38,1,149,21,1198
"","BALTIMORE, MD 21239",,,,,,
27020-SCHOOL #245 LEITH WALK ELEM,"1235 SHERWOOD AVENUE,",1923,99,3,288,22,2335
SCH,"BALTIMORE, MD 21239",,,,,,
27021-SCHOOL #219 YORKWOOD ELEM,"5931 YORKWOOD RD,",1615,33,3,202,19,1872
"","BALTIMORE, MD 21239",,,,,,
27022-SCHOOL #242 NORTHWOOD ELEM,"5201 LOCH RAVEN BLVD,",2172,63,1,230,34,2500
"","BALTIMORE, MD 21239",,,,,,
27023-SCHOOL #242 NORTHWOOD ELEM,"5201 LOCH RAVEN BLVD,",474,11,1,70,7,563
"","BALTIMORE, MD 21239",,,,,,
27024-SCHOOL #242 NORTHWOOD ELEM,"5201 LOCH RAVEN BLVD,",503,21,0,62,5,591
"","BALTIMORE, MD 21239",,,,,,
27025-ENOCH PRATT LIBRARY FREE,4420 LOCH RAVEN BLVD -,1027,46,0,136,7,1216
NORTHWOOD BRANCH,ENTER ON NORTHGATE,,,,,,
"","ROAD, BALTIMORE, MD",,,,,,
"",21218,,,,,,
27026-THE LEAGUE FOR PEOPLE WITH,1111 E COLDSPRING,663,21,1,94,8,787
DISABILITIES,"LANE, BALTIMORE, MD",,,,,,
"",21239,,,,,,
27027-THE LEAGUE FOR PEOPLE WITH,1111 E COLDSPRING,1376,39,1,198,20,1634
DISABILITIES,"LANE, BALTIMORE, MD",,,,,,
"",21239,,,,,,
27028-SCHOOL #134 WALTER P CARTER,"820 E 43RD ST,",1062,31,2,117,12,1224
ELEM/MID,"BALTIMORE, MD 21212",,,,,,
27029-SCHOOL #134 WALTER P CARTER,"820 E 43RD ST,",750,23,3,93,11,880
ELEM/MID,"BALTIMORE, MD 21212",,,,,,
27030-SCHOOL #242 NORTHWOOD ELEM,"5201 LOCH RAVEN BLVD,",1194,30,3,147,19,1393
"","BALTIMORE, MD 21239",,,,,,
27031-SCHOOL #245 LEITH WALK ELEM,"1235 SHERWOOD AVENUE,",1821,74,4,252,22,2173
SCH,"BALTIMORE, MD 21239",,,,,,
27032-NORTHSIDE BAPTIST CHURCH,"1100 E NORTHERN PKWY,",1850,145,14,325,35,2369
"","BALTIMORE, MD 21239",,,,,,
27033-SCHOOL #134 WALTER P CARTER,"820 E 43RD ST,",1861,88,6,295,28,2278
ELEM/MID,"BALTIMORE, MD 21212",,,,,,
27034-DEWEESE REC CTR,"5501 IVANHOE AVE,",1452,77,4,235,21,1789
"","BALTIMORE, MD 21212",,,,,,
27035-SCHOOL #134 WALTER P CARTER,"820 E 43RD ST,",2314,85,7,372,50,2828
ELEM/MID,"BALTIMORE, MD 21212",,,,,,
27036-SCHOOL #134 WALTER P CARTER,"820 E 43RD ST,",753,31,1,143,19,947
ELEM/MID,"BALTIMORE, MD 21212",,,,,,
27037-SCHOOL #134 WALTER P CARTER,"820 E 43RD ST,",1427,144,4,288,21,1884
ELEM/MID,"BALTIMORE, MD 21212",,,,,,
27038-GOVANS BOUNDARY UMC,"5210 YORK RD,",127,60,1,68,2,258
"","BALTIMORE, MD 21212",,,,,,
27039-ST MARYS CHURCH OF GOVANS,"5502 YORK RD,",329,65,0,55,2,451
"","BALTIMORE, MD 21212",,,,,,
27040-GRACE UNITED METHODIST,"5407 N CHARLES ST,",1492,361,3,311,10,2177
CHURCH,"BALTIMORE, MD 21210",,,,,,
27041-GRACE UNITED METHODIST,"5407 N CHARLES ST,",918,100,4,184,13,1219
CHURCH,"BALTIMORE, MD 21210",,,,,,
27042-ROLAND PARK COMMUNITY CENTER,"5802 ROLAND AVE,",1242,206,5,276,10,1739
"","BALTIMORE, MD 21210",,,,,,
27043-SCHOOL #407  WESTERN HIGH,"4600 FALLS RD,",613,75,1,102,5,796
"","BALTIMORE, MD 21209",,,,,,
27044-SCHOOL #233 ROLAND PARK,"5207 ROLAND AVE,",951,102,2,136,6,1197
MIDDLE,"BALTIMORE, MD 21210",,,,,,
27045-ST DAVIDS CHURCH,"4700 ROLAND AVE,",1377,141,6,233,13,1770
"","BALTIMORE, MD 21210",,,,,,
27046-BOLTON STREET SYNAGOGUE,"212 W COLDSPRING LN,",571,49,2,110,7,739
"","BALTIMORE, MD 21210",,,,,,
27047-SCHOOL #249 MEDFIELD HEIGHTS,"4300 BUCHANAN AVE,",900,91,3,245,17,1256
ELEM,"BALTIMORE, MD 21211",,,,,,
27048-RUSCOMBE GARDEN APTS,"4800 YELLOWWOOD AVE,",809,49,3,137,7,1005
"","BALTIMORE, MD 21209",,,,,,
27049-SCHOOL #221 MT WASHINGTON,"5800 SMITH AVE,",2383,240,11,384,33,3051
LOWER,"BALTIMORE, MD 21209",,,,,,
27050-ENGINE HOUSE #45,"2700 GLEN AVE,",984,35,3,119,15,1156
"","BALTIMORE, MD 21215",,,,,,
27051-LEVINDALE HEBREW GERIATRIC,"2434 W BELVEDERE AVE,",166,14,0,16,3,199
CENTER AND HOSPITAL,"BALTIMORE, MD 21215",,,,,,
27052-SCHOOL #223 PIMLICO ELEM,4849 PIMLICO ROAD (ENT,2030,83,3,280,28,2424
"","ON THORNDALE),",,,,,,
"","BALTIMORE, MD 21215",,,,,,
27053-SCHOOL #62 PARK HEIGHTS,"2835 VIRGINIA AVE,",1252,45,5,168,26,1496
ACADEMY,"BALTIMORE, MD 21215",,,,,,
27054-C.C. JACKSON REC CTR,"4910 PARK HGTS AVE,",688,33,2,112,21,856
"","BALTIMORE, MD 21215",,,,,,
27055-LANGSTON HUGHES COMM CENTER,"5011 ARBUTUS AVE,",305,14,1,43,8,371
"","BALTIMORE, MD 21215",,,,,,
27056-BEL-PARK TOWERS,"3800 W BELVEDERE AVE,",724,36,1,102,22,885
"","BALTIMORE, MD 21215",,,,,,
27057-BEL-PARK TOWERS,"3800 W BELVEDERE AVE,",1580,67,1,213,25,1886
"","BALTIMORE, MD 21215",,,,,,
27058-SCHOOL #223 PIMLICO ELEM,4849 PIMLICO ROAD (ENT,541,25,0,71,9,646
"","ON THORNDALE),",,,,,,
"","BALTIMORE, MD 21215",,,,,,
27059-PUBLIC SAFETY TRAINING CENTER,3500 W NORTHERN PKWY,731,33,0,107,21,892
"",(ENTER ON MANHATTAN,,,,,,
"","AVE), BALTIMORE, MD",,,,,,
"",21215,,,,,,
27060-PUBLIC SAFETY TRAINING CENTER,3500 W NORTHERN PKWY,1247,118,3,175,19,1562
"",(ENTER ON MANHATTAN,,,,,,
"","AVE), BALTIMORE, MD",,,,,,
"",21215,,,,,,
27061-SCHOOL #401 NORTHWESTERN SR,"6900 PARK HEIGHTS AVE,",630,44,3,85,9,771
HIGH,"BALTIMORE, MD 21215",,,,,,
27062-SCHOOL #401 NORTHWESTERN SR,"6900 PARK HEIGHTS AVE,",1320,289,4,283,12,1908
HIGH,"BALTIMORE, MD 21215",,,,,,
27063-CROSS COUNTRY ELEM SCH,"6900 PARK HEIGHTS AVE,",1425,260,2,231,20,1938
"@NORTHWESTERN (GYM)","BALTIMORE, MD 21215",,,,,,
27064-ENGINE HOUSE #45,"2700 GLEN AVE,",1255,352,9,275,11,1902
"","BALTIMORE, MD 21215",,,,,,
27065-CROSS COUNTRY ELEM SCH,"6900 PARK HEIGHTS AVE,",1896,613,3,485,17,3014
"@NORTHWESTERN (GYM)","BALTIMORE, MD 21215",,,,,,
27066-SCHOOL #401 NORTHWESTERN SR,"6900 PARK HEIGHTS AVE,",1599,488,5,395,22,2509
HIGH,"BALTIMORE, MD 21215",,,,,,
27067-SCHOOL #241 FALLSTAFF MIDDLE,"3801 FALLSTAFF RD,",1533,202,4,304,29,2072
"","BALTIMORE, MD 21215",,,,,,
